"","Ano da eleição","UF","Cargo","Reapresentação","Desistência","Reeleitos","Derrotados","Conservação","Renovação bruta","Renovação líquida","Volatilidade eleitoral"
"1",2002,"AC","Deputado Estadual",19,5,11,8,57.89,2.53,42.11," 6.19"
"2",2002,"AL","Deputado Estadual",24,3,16,8,66.67,2.14,33.33," 6.63"
"3",2002,"AM","Deputado Estadual",21,3,13,8,61.9,2.14,38.1," 6.03"
"4",2002,"AP","Deputado Estadual",17,7,8,9,47.06,3.12,52.94," 6.17"
"5",2002,"BA","Deputado Estadual",46,17,34,12,73.91,5.65,26.09," 7.53"
"6",2002,"CE","Deputado Estadual",34,12,23,11,67.65,4.48,32.35," 7.05"
"7",2002,"ES","Deputado Estadual",21,9,9,12,42.86,4.09,57.14," 6.67"
"8",2002,"GO","Deputado Estadual",23,18,13,10,56.52,5.46,43.48," 7.05"
"9",2002,"MA","Deputado Estadual",31,11,18,13,58.06,4.68,41.94," 7.80"
"10",2002,"MG","Deputado Estadual",70,7,40,30,57.14,7.21,42.86," 7.50"
"11",2002,"MS","Deputado Estadual",18,6,14,4,77.78,1.95,22.22," 6.18"
"12",2002,"MT","Deputado Estadual",19,5,14,5,73.68,1.95,26.32," 5.33"
"13",2002,"PA","Deputado Estadual",33,8,21,12,63.64,3.9,36.36," 6.00"
"14",2002,"PB","Deputado Estadual",29,7,17,12,58.62,3.7,41.38," 5.09"
"15",2002,"PE","Deputado Estadual",33,16,19,14,57.58,5.85,42.42," 8.13"
"16",2002,"PI","Deputado Estadual",24,6,19,5,79.17,2.14,20.83," 4.06"
"17",2002,"PR","Deputado Estadual",44,10,27,17,61.36,5.26,38.64," 6.78"
"18",2002,"RJ","Deputado Estadual",82,-12,30,52,36.59,7.8,63.41," 8.59"
"19",2002,"RN","Deputado Estadual",17,7,13,4,76.47,2.14,23.53," 4.54"
"20",2002,"RO","Deputado Estadual",16,8,12,4,75,2.34,25," 5.62"
"21",2002,"RR","Deputado Estadual",20,4,8,12,40,3.12,60," 8.08"
"22",2002,"RS","Deputado Estadual",42,13,33,9,78.57,4.29,21.43," 5.08"
"23",2002,"SC","Deputado Estadual",29,11,18,11,62.07,4.29,37.93," 3.53"
"24",2002,"SE","Deputado Estadual",15,9,11,4,73.33,2.53,26.67," 5.52"
"25",2002,"SP","Deputado Estadual",68,26,46,22,67.65,9.36,32.35," 8.03"
